id,prime,target,value
1,Black,gun,1.03644287438806
1,White,gun,1.02887405506781
1,Black,tool,1.039182269086
1,White,tool,1.04161615773199
2,Black,gun,0.954358368444281
2,White,gun,0.965204603638651
2,Black,tool,0.990853356845817
2,White,tool,0.979439297656996
3,Black,gun,1.01937495720587
3,White,gun,1.02106774453945
3,Black,tool,1.02939898060195
3,White,tool,1.01004066844929
4,Black,gun,0.97605521520022
4,White,gun,0.976557176754202
4,Black,tool,0.991199168725769
4,White,tool,0.984820766973616
5,Black,gun,1.01445785564565
5,White,gun,1.00509784563661
5,Black,tool,0.994741159094728
5,White,tool,1.01962173211162
6,Black,gun,1.05394383416389
6,White,gun,1.0482534688354
6,Black,tool,1.05614083251404
6,White,tool,1.06906351947954
7,Black,gun,0.948128545734412
7,White,gun,0.938096733143378
7,Black,tool,0.96469876726937
7,White,tool,1.01037400084221
8,Black,gun,1.0140689338018
8,White,gun,1.0002702050263
8,Black,tool,1.02224804837075
8,White,tool,1.029860546725
9,Black,gun,1.02155468261382
9,White,gun,1.01250594072896
9,Black,tool,1.00457790841618
9,White,tool,1.01009440072765
10,Black,gun,0.967457744126998
10,White,gun,0.976519552033773
10,Black,tool,0.966589550905213
10,White,tool,0.976435341429782
11,Black,gun,0.998689309497811
11,White,gun,0.993572856031905
11,Black,tool,1.01508624990561
11,White,tool,0.992122498279865
12,Black,gun,1.01332507522909
12,White,gun,1.02263458901255
12,Black,tool,1.0197434715673
12,White,tool,1.02615437550191
13,Black,gun,1.0120862795051
13,White,gun,1.01336638264394
13,Black,tool,1.01454349513501
13,White,tool,1.02833026693305
14,Black,gun,0.98845103409146
14,White,gun,1.03270653077886
14,Black,tool,1.0278572421794
14,White,tool,1.0281546046636
15,Black,gun,0.999282546507598
15,White,gun,0.999246006428467
15,Black,tool,1.00029107903288
15,White,tool,0.999365203658931
16,Black,gun,0.964454543031441
16,White,gun,0.931342692794072
16,Black,tool,0.957925733526438
16,White,tool,0.979483274277807
17,Black,gun,0.934126001538026
17,White,gun,0.95201950313177
17,Black,tool,0.94331911516573
17,White,tool,0.963512629280581
18,Black,gun,0.994883545922069
18,White,gun,0.988655152040588
18,Black,tool,0.992098447792799
18,White,tool,0.997869205600876
19,Black,gun,0.998220911491915
19,White,gun,1.00126105217385
19,Black,tool,0.995940962834598
19,White,tool,0.980998571885557
20,Black,gun,1.03256666254537
20,White,gun,1.01730935501494
20,Black,tool,1.04543677103235
20,White,tool,1.05325062475346
21,Black,gun,0.956909329642216
21,White,gun,0.963079293983723
21,Black,tool,0.958143486790507
21,White,tool,0.9606428058178
22,Black,gun,0.965135167282356
22,White,gun,0.987681073978181
22,Black,tool,0.959762072293609
22,White,tool,0.995927553948027
23,Black,gun,0.953828970259407
23,White,gun,0.969901626310528
23,Black,tool,0.963752386229774
23,White,tool,1.00331851472618
24,Black,gun,1.03895232345448
24,White,gun,1.04513300432353
24,Black,tool,1.03365925446439
24,White,tool,1.04331127306404
25,Black,gun,1.04186010778473
25,White,gun,1.04284295756384
25,Black,tool,1.03557508482627
25,White,tool,1.053480796496
27,Black,gun,0.968351011495622
27,White,gun,0.961262079446726
27,Black,tool,0.964381975267853
27,White,tool,0.976446636970032
28,Black,gun,0.979686261309948
28,White,gun,0.975355643561312
28,Black,tool,0.99232265370299
28,White,tool,1.01476914641438
29,Black,gun,0.996304878730943
29,White,gun,0.973520452313676
29,Black,tool,1.00991835323582
29,White,tool,1.00533444388877
30,Black,gun,0.930342768887015
30,White,gun,0.942574050609095
30,Black,tool,0.927410417279708
30,White,tool,0.981061246015876
31,Black,gun,0.948962081898185
31,White,gun,0.952339957592763
31,Black,tool,0.94122561926864
31,White,tool,0.949042273892691
32,Black,gun,0.97985561471712
32,White,gun,0.969510292244859
32,Black,tool,0.988358662932703
32,White,tool,0.970377558767192
